22:36:59.107703 78:31:c1:bc:22:e4 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 78:31:c1:bc:22:e4, length 300
22:52:08.412660 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
22:53:37.399416 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
23:00:46.154267 a8:8e:24:a3:f7:71 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from a8:8e:24:a3:f7:71, length 300
23:06:00.835848 4c:57:ca:33:2f:26 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 4c:57:ca:33:2f:26, length 300
23:06:02.167136 4c:57:ca:33:2f:26 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 4c:57:ca:33:2f:26, length 300
23:06:04.624963 4c:57:ca:33:2f:26 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 4c:57:ca:33:2f:26, length 300
23:09:16.424268 4c:57:ca:33:2f:26 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 4c:57:ca:33:2f:26, length 300
23:21:29.714639 04:d6:aa:aa:c8:8c > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 340: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 04:d6:aa:aa:c8:8c, length 298
23:21:29.715466 04:d6:aa:aa:c8:8c > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 352: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 04:d6:aa:aa:c8:8c, length 310
23:23:30.651227 c0:1a:da:12:4e:c9 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from c0:1a:da:12:4e:c9, length 300
23:23:31.674147 c0:1a:da:12:4e:c9 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from c0:1a:da:12:4e:c9, length 300
23:28:42.666403 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
23:49:07.084599 f4:0f:24:1a:90:92 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from f4:0f:24:1a:90:92, length 300
23:49:13.228438 e0:b9:a5:fe:0a:5b > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e0:b9:a5:fe:0a:5b, length 300
23:49:15.686101 e0:b9:a5:fe:0a:5b > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 353: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e0:b9:a5:fe:0a:5b, length 311
23:52:00.449769 24:f0:94:45:02:42 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 24:f0:94:45:02:42, length 300
23:52:00.450344 34:97:f6:ad:0c:f0 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.1.67 > 255.255.255.255.68: BOOTP/DHCP, Reply, length 300
23:52:00.451173 24:f0:94:45:02:42 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 24:f0:94:45:02:42, length 300
23:52:08.334462 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
23:53:42.441340 7c:46:85:25:5f:2b > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 356: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 7c:46:85:25:5f:2b, length 314
23:53:42.441947 7c:46:85:25:5f:2b > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 368: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 7c:46:85:25:5f:2b, length 326
23:54:54.429572 c8:1e:e7:90:f7:60 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from c8:1e:e7:90:f7:60, length 300
00:01:13.622758 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
00:15:20.383229 e4:f8:ef:d2:92:98 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 350: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e4:f8:ef:d2:92:98, length 308
00:15:20.383871 e4:f8:ef:d2:92:98 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 362: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from e4:f8:ef:d2:92:98, length 320
00:28:42.495883 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
00:34:22.981379 6c:8d:c1:90:f3:ca > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 6c:8d:c1:90:f3:ca, length 300
00:34:22.982203 6c:8d:c1:90:f3:ca > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 6c:8d:c1:90:f3:ca, length 300
00:34:22.984193 34:97:f6:ad:0c:f0 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.1.67 > 255.255.255.255.68: BOOTP/DHCP, Reply, length 300
